TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/2/2022 10:14,22005403363,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999528942,CITRA HBL PEARLY GLOW UV 6X6X120ML,24,10811.72,4012.2293,28101.5956,283570.6463
6/2/2022 10:19,22005403360,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999005580,DOVE RO COMPLETE CARE 4X6X40ML,24,17750.46,6587.1957,46136.6229,465560.4672
6/9/2022 10:02,22005403587,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999001049,LIFEBUOY HWL TOTAL10 REF LD 12X180ML,24,10612.58,3938.3285,27583.9951,278347.5866
6/2/2022 10:19,22005403359,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999534677,REXONA RO GLOWING 4X6X40ML,48,11950.46,8869.6314,62122.7693,626875.2179
6/7/2022 10:51,22005403451,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999571948,MOLTO AIO PINK 12X720ML NEW,24,29252.25,211701.16,53938.8124,544291.6524
6/2/2022 10:14,22005403363,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999502416,ROYCO FDS CHICKEN MP RL 40X(6X8G),80,2409.9,2981.0463,20879.2049,210690.1586
6/2/2022 10:27,22005403352,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999566098,VASELINE HAND CREAM ANTIBAC 4X6X50ML,24,19403.58,7200.6686,50433.3777,508918.6291
6/4/2022 9:48,22005403432,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999572747,AXE DEO BS YOU COOL CHARGE 1X12X135ML,12,26400,4898.52,34309.1628,346210.6428
6/9/2022 10:06,22005403585,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999046989,LIFEBUOY TS MILDCARE ARG 36X(4X60G),36,10252.25,5706.915,39971.1493,403345.2343
6/4/2022 9:49,22005403430,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999035273,VASELINE HBRIGHT SPF30 SERUM 8X3X180ML,24,40796.42,15139.5514,106037.1981,1070011.727
6/4/2022 9:48,22005403431,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999048266,SUNSILK SHP SOFT&SMTH AI 36X160ML,36,20585.58,11458.9631,80258.4109,809880.3278
6/9/2022 10:08,22005403582,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999526511,TRESEMME SCLP CARE SHP 12X340ML,12,55100,10223.805,71607.3815,722583.5765
